DN20020 ,Modina Gen.Store 
23.80968, 90.36364667
DSEA-0021 ,Abul Klam Store 
23.73898333, 90.41284667
DN20021 ,Bissmilla Store 
23.76144333, 90.35182167
DN20010 ,Sharif Gen Store 
23.82088, 90.25504167
DN20016 ,Priya Bakery & General Store 
23.77146667, 90.42657333
DN30018 ,Mojaddadia Departmemtal Store 
23.79520667, 90.34797
DN20019 ,Kashem Store 
23.76741667, 90.40905
DN30005 ,Fahad Store 
23.9239417, 90.4020634
DSEA-0021 ,Bismillah Store 
23.747905, 90.42330333
DN20019 ,Anam Store 
23.76046167, 90.40441
DN20019 ,Jononi Store 
23.76014667, 90.40572333
DN20021 ,Ittadi Store 
23.7527261, 90.3639359
DN10005 ,Minto Genersl Store 
23.83030333, 90.38591333
DSEA-0021 ,Yusuf Store 
23.74385167, 90.42263833
DN30005 ,Pita Mata 2 
23.92298333, 90.41156667
DSEB-0019 ,Al Amin Store 
23.60873167, 90.530515
DN20021 ,Emon Store 
23.75016667, 90.35963833
DN30018 ,Redwan Telecom & Business Center 
23.78908333, 90.34711167
DSWA0013 ,Imteaj Store 
23.555785, 90.498845
DSEB-0019 ,Mayar Doa Store 
23.60588167, 90.51043833
DN20020 ,Bangladesh Dept Store 
23.802816, 90.3622558
DN30006 ,Mayer Duya Hotel 
23.87946667, 90.40034167
DSWB-0007 ,Nurani General Store 
23.7909689, 90.3727979
DN10005 ,Faysal General Store 
23.837965, 90.38650167
DSWB-0007 ,Saladueen Store 
23.7045042, 90.4238593
DN20021 ,Robiul islam 
23.73644833, 90.35946667
DN20021 ,Shadin Store 
23.749295, 90.34303333
DN20022 ,Riaz Store 
23.84469, 90.2812
DN20022 ,Rahima gen. Store 
23.83934333, 90.264465
DN20015 ,Bismillah Store 
23.82326167, 90.37442167
DN20020 ,Talukdar Foods & Bekary 
23.80545333, 90.36421167
DSWA0013 ,Shanjida Store 
23.55035833, 90.50251167
DN10005 ,Razu Tea Store 
23.82998167, 90.390315
DSEA0014 ,MSB cosmatics&confectionary 
23.54702333, 90.46016833
DN20025 ,General Marketimg Company 
23.78314333, 90.40397833
DN10026 ,Chadpur Store 
23.79611167, 90.373755
DSEB-0019 ,Abdul Motin Store 
23.60419167, 90.54483333
DSEB-0019 ,Sarkar Traders 
23.59816333, 90.54404
DN10004 ,New Delhi Sweets & Bakery 
23.79383833, 90.38774
DN30006 ,Nishat gen. Store 
23.876895, 90.39411833
DSWB-0007 ,Halim Dipatmantal Store 
23.69409167, 90.425605
DSWB-0014 ,Arman Store 
23.706125, 90.38270667
DSWB-0014 ,Niloy Traders 
23.70509, 90.38885
DN10005 ,Mohona General Store 
23.84214833, 90.38565
DN10011 ,Jahid store 
23.96010833, 90.24580833
DN20019 ,Toroiqul Store 
23.76014833, 90.40554167
DN20019 ,Muradnogor Store 
23.75867833, 90.40302167
DN10011 ,Sofikul Store 
23.97909833, 90.26296667
DN20007 ,Bhai Bhai Store 
23.75749667, 90.388965
DSEA-0021 ,Yousuf Bekary 
23.74368, 90.42240667
DN20020 ,Delta Health Care Center 
23.8167163, 90.3663435
DN10011 ,Mayer doya Store 
23.95914333, 90.25941833
DN30019 ,Doctors Caffeteria 
23.7367991, 90.3961777
DN20028 ,Shohel Store 
23.81421, 90.37153167
DN20016 ,Shoriyatpur General Store 
23.77148, 90.42539167
DN20016 ,Shagoto General Store 
23.7712471, 90.4243719
DN20021 ,Vai Vai Sskib 
23.74936667, 90.35868167
DN30006 ,Minar Genarel Store 
23.874879, 90.4012175
DN20010 ,Razib Store 
23.834005, 90.25496667
DN10026 ,Muslim Sweets 
